SpPair,one:one,1:M,M:1,M:M
AthChi,15515,1405,855,1860
AthCru,16327,863,756,2006
AthTar,12562,1633,1066,1309
AthSal,9104,6939,718,1806
AthBra,8849,7734,597,2036
AthCsa,1844,15526,154,2633
AthAar,13796,1143,1743,421
ChiCru,15305,909,1360,1826
ChiTar,12063,1519,1465,1403
ChiSal,8765,6679,1013,2016
ChiBra,8471,7439,879,2282
ChiCsa,1811,14689,260,3072
ChiAar,13280,1110,2193,443
CruTar,12419,1580,1100,1325
CruSal,9029,6892,763,1815
CruBra,8843,7672,604,2113
CruCsa,1873,15471,155,2780
CruAar,13658,1120,1750,422
TarSal,7348,5784,1035,1852
TarBra,7042,6416,910,2028
TarCsa,1509,12266,251,2752
TarAar,11257,1019,2132,381
SalBra,8326,2122,1275,7700
SalCsa,1117,8905,754,8010
SalAar,7995,615,6972,914
BraCsa,1178,8425,771,9046
BraAar,7679,569,7634,998
CsaAar,1635,151,13929,1443
